"ブランドID","ブランド名","制限"
"588","MOTHER HOOD(マザーフッド)",""
"589","Mimi Maternity(ミミマタニティ)",""
"590","Isabella Oliver(イサベラオリバー)",""
"591","chiarakruza(キアラクルーザ)",""
"592","Dante Beatrix(ダンテビアトリクス)",""
"594","THE NORTH FACE(ザノースフェイス)",""
"595","Patagonia(パタゴニア)",""
"596","Carhartt(カーハート)",""
"597","UNITED COLORS OF BENETTON.(ユナイテッドカラーズオブベネトン)",""
"598","XOXO(エックスオーエックスオー)",""
"600","hiromichi nakano(ヒロミチナカノ)",""
"601","Hanes(ヘインズ)",""
"603","ESPRIT(エスプリ)",""
"604","TINKERBELL(ティンカーベル)",""
"605","MIKI HOUSE(ミキハウス)",""
"606","Energy Muse(エナジーミューズ)",""
"607","VIVAYOU(ビバユー)",""
"608","UNIVERSAL GENEVE(ユニバーサルジュネーブ)",""
"609","BEAMS(ビームス)",""
"610","SONIA RYKIEL(ソニアリキエル)",""
"611","TOPMAN(トップマン)",""
"612","JOHN BARTLETT(ジョンバートレット)",""
"613","lucien pellat finet(ルシアンペラフィネ)",""
"614","NeIL Barrett(ニールバレット)",""
"615","ANDREW MACKENZIE(アンドリューマッケンジー)",""
"616","anvil(アンビル)",""
"617","Columbia(コロンビア)",""
"618","Acne Studios(アクネストゥディオス)",""
"619","Supreme(シュプリーム)","有り"
"620","ICEBERG(アイスバーグ)",""
"621","OAKLEY(オークリー)",""
"622","LOOMSTATE(ルームステイト)",""
"623","HENLEYS(ヘンリーズ)",""
"624","blue marlin(ブルーマリン)",""
"625","FRENCH CONNECTION(フレンチコネクション)",""
"626","karrimor(カリマー)",""
"627","NAUTICA(ノーティカ)",""
"628","AIRWALK(エアウォーク)",""
"629","LAISSE PASSE(レッセパッセ)",""
"630","Cutter&Buck(カッターアンドバック)",""
"631","KANSAI YAMAMOTO(カンサイヤマモト)",""
"632","KARL KANI(カールカナイ)",""
"633","FRED PERRY(フレッドペリー)",""
"634","Aquascutum(アクアスキュータム)",""
"635","ZEGNA(ゼニア)",""
"636","ISSEY MIYAKE(イッセイミヤケ)",""
"637","TRUSSARDI(トラサルディー)",""
"638","one after another NICE CLAUP(ワンアフターアナザー ナイスクラップ)",""
"639","renoma(レノマ)",""
"640","X-Large(エクストララージ)",""
"641","Chums(チャムス)",""
"642","UMBRO(アンブロ)",""
"643","Kangol(カンゴール)",""
"644","3rdborn(サードボーン)",""
"646","JUN MEN(ジュンメン)",""
"647","ADOLFO DOMINGUEZ(アドルフォドミンゲス)",""
"648","FILA(フィラ)",""
"649","Brooks(ブルックス)",""
"650","Samsonite(サムソナイト)",""
"651","Emanuel Ungaro(エマニュエルウンガロ)",""
"652","Reebok(リーボック)",""
"653","PLAY COMME des GARCONS(プレイコムデギャルソン)",""
"654","KRIZIA(クリツィア)",""
"655","WOOLRICH(ウールリッチ)",""
"656","AGNONA(アニオナ)",""
"657","Roberto Cavalli(ロベルトカヴァッリ)",""
"658","Eddie Bauer(エディーバウアー)",""
"659","JOHNBULL(ジョンブル)",""
"660","FUBU(フブ)",""
"661","A BATHING APE(アベイシングエイプ)",""
