"サイズの種類ID","サイズの種類名","カテゴリID","カテゴリ名","カテゴリパス"
"2","S","3202","ブラジャー","レディースファッション/インナー・ルームウェア"
"3","M","3202","ブラジャー","レディースファッション/インナー・ルームウェア"
"4","L","3202","ブラジャー","レディースファッション/インナー・ルームウェア"
"5","XL以上","3202","ブラジャー","レディースファッション/インナー・ルームウェア"
"1","XS以下","3203","ブラジャー＆ショーツ","レディースファッション/インナー・ルームウェア"
"2","S","3203","ブラジャー＆ショーツ","レディースファッション/インナー・ルームウェア"
"3","M","3203","ブラジャー＆ショーツ","レディースファッション/インナー・ルームウェア"
"4","L","3203","ブラジャー＆ショーツ","レディースファッション/インナー・ルームウェア"
"5","XL以上","3203","ブラジャー＆ショーツ","レディースファッション/インナー・ルームウェア"
"1","XS以下","3204","ルームウェア・パジャマ","レディースファッション/インナー・ルームウェア"
"2","S","3204","ルームウェア・パジャマ","レディースファッション/インナー・ルームウェア"
"3","M","3204","ルームウェア・パジャマ","レディースファッション/インナー・ルームウェア"
"4","L","3204","ルームウェア・パジャマ","レディースファッション/インナー・ルームウェア"
"5","XL以上","3204","ルームウェア・パジャマ","レディースファッション/インナー・ルームウェア"
"1","XS以下","3205","インナー・ルームウェアその他","レディースファッション/インナー・ルームウェア"
"2","S","3205","インナー・ルームウェアその他","レディースファッション/インナー・ルームウェア"
"3","M","3205","インナー・ルームウェアその他","レディースファッション/インナー・ルームウェア"
"4","L","3205","インナー・ルームウェアその他","レディースファッション/インナー・ルームウェア"
"5","XL以上","3205","インナー・ルームウェアその他","レディースファッション/インナー・ルームウェア"
"1","XS以下","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
"2","S","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
"3","M","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
"4","L","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
"5","XL以上","3243","パーティードレス","レディースファッション/ブライダル・パーティー"
"1","XS以下","3245","ウェディングドレス","レディースファッション/ブライダル・パーティー"
"2","S","3245","ウェディングドレス","レディースファッション/ブライダル・パーティー"
"3","M","3245","ウェディングドレス","レディースファッション/ブライダル・パーティー"
"4","L","3245","ウェディングドレス","レディースファッション/ブライダル・パーティー"
"5","XL以上","3245","ウェディングドレス","レディースファッション/ブライダル・パーティー"
"210","21cm以下","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"215","21.5cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"220","22cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"225","22.5cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"230","23cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"235","23.5cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"240","24cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"245","24.5cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"250","25cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"255","25.5cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"260","26cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"265","26.5cm","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"270","27cm以上","3247","ウェディングシューズ","レディースファッション/ブライダル・パーティー"
"210","21cm以下","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"215","21.5cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"220","22cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"225","22.5cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"230","23cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"235","23.5cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"240","24cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"245","24.5cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"250","25cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"255","25.5cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"260","26cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"265","26.5cm","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"270","27cm以上","3254","パーティーシューズ","レディースファッション/靴・シューズ"
"1","XS以下","3257","フリースジャケット","レディースファッション/アウター"
"2","S","3257","フリースジャケット","レディースファッション/アウター"
"3","M","3257","フリースジャケット","レディースファッション/アウター"
"4","L","3257","フリースジャケット","レディースファッション/アウター"
"5","XL以上","3257","フリースジャケット","レディースファッション/アウター"
"1","XS以下","3260","Tシャツ・カットソー","メンズファッション/トップス"
"2","S","3260","Tシャツ・カットソー","メンズファッション/トップス"
"3","M","3260","Tシャツ・カットソー","メンズファッション/トップス"
"4","L","3260","Tシャツ・カットソー","メンズファッション/トップス"
"5","XL以上","3260","Tシャツ・カットソー","メンズファッション/トップス"
"1","XS以下","3261","ポロシャツ","メンズファッション/トップス"
"2","S","3261","ポロシャツ","メンズファッション/トップス"
"3","M","3261","ポロシャツ","メンズファッション/トップス"
